,Tweet,State,IsFlorida
2016-12-16 22:34:23,RT @pmishkar87: Awakening. #photography #Travel #Wisconsin #hiking #nature https://t.co/zmTUFEjKsY,WI,0
2016-12-16 22:34:14,RT @amrightnow: #trump2016 Make Video (Trump About You) https://t.co/j58e8aacrE #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.co/Mc…,WI,0
2016-12-16 22:33:31,"[JOB OPENING] #Madison  Communications Director based in Madison, #Wisconsin https://t.co/GMAwdYx0n1 @AmerHeartWisc",WI,0
2016-12-16 22:31:59,"RT @ChristiChat: Trump offered Hillary 5 cents on the dollar for her cancelled election night fireworks 😂

#ThankYouTour2016
#Wisconsin #MA…",WI,0
2016-12-16 22:31:35,People driving out here like their not from #Wisconsin https://t.co/ToUULKhmUM,WI,0
2016-12-16 22:31:21,Mom just brought me this spread unprompted. #Wisconsin #truelove https://t.co/GUAhpDx9Ix,WI,0
2016-12-16 22:30:51,Glad I am home before I had to deal with this #Wisconsin https://t.co/4u6xPj2u5O,WI,0
2016-12-16 22:30:23,#trump2016 Make Video (Trump About You) https://t.co/j58e8aacrE #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.co/McnDPWrR1j,WI,0
2016-12-16 22:29:20,How do you want to ride? In a free Lyft? 10 free rides Go to payment screen &amp; enter: SYRUP *** Racine County #Wisconsin,WI,0
2016-12-16 22:29:08,Suspended UW-Madison student faces 6 new charges involving 5 women #Wisconsin(via @intweetiv) https://t.co/l1jxEdZMDU,WI,0
2016-12-16 22:28:45,"RT @amrightnow: ""The Real Trump"" Make Video #1 Trump About You) https://t.co/j58e8aacrE #WisconsinPrimary #Wisconsin #Wisconsinpoll https:/…",WI,0
2016-12-16 22:27:31,"RT @amrightnow: ""The Real Trump"" Make Video #1 Trump About You) https://t.co/j58e8aacrE #WisconsinPrimary #Wisconsin #Wisconsinpoll https:/…",WI,0
2016-12-16 22:26:55,RT @pmishkar87: Vision in white. #WinterWonderland #photography #travelpics #sunset #Wisconsin https://t.co/4kDiMhbhkH,WI,0
2016-12-16 22:26:52,RT @pmishkar87: Awakening. #photography #Travel #Wisconsin #hiking #nature https://t.co/zmTUFEjKsY,WI,0
2016-12-16 22:26:11,"Great recap from Mike Fisher about the rich year of #theatre we enjoyed in #Wisconsin in 2016. Here's to many more! 
https://t.co/UzAPGL6zE3",WI,0
2016-12-16 22:25:50,#WhiteGenocide #DeplorablesRising #Wisconsin #Deplorables https://t.co/dP9bFBDJZV,WI,0
2016-12-16 22:25:07,#GreenBay #Wisconsin Dec 16 16:10 Temperature 15°F light snow Humidity 75% .. https://t.co/9Ul56OoZbV,WI,0
2016-12-16 22:24:18,#wisconsin exercise weight loss servo motor online shop,WI,0
2016-12-16 22:22:01,RT @amrightnow: #TheRealDonaldTrump #WisconsinPrimary #Wisconsin #Wisconsinpoll  #ISIS #SyrianRefugees https://t.co/j58e8aacrE https://t.co…,WI,0
2016-12-16 22:21:40,Lyft $50 Ride Credit with Lyft Coupon Code Lyft Promotional Code PINS *** Washburn County #Wisconsin,WI,0
2016-12-16 22:21:07,Your southern #Wisconsin radar view. #wiwx @WISCTV_News3 https://t.co/eIWsWjuiba,WI,0
2016-12-16 22:20:47,"RT @amrightnow: ""The Real Trump"" Make Video #1 Trump About You) https://t.co/j58e8aacrE #WisconsinPrimary #Wisconsin #Wisconsinpoll https:/…",WI,0
2016-12-16 22:20:21,"""The Real Trump"" Make Video #1 Trump About You) https://t.co/j58e8aacrE #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.co/DvV8wRjq5Y",WI,0
2016-12-16 22:18:44,"Winter wonderland. ☺
.
.
.
#JohnsonControls #snow #westallis #wisconsin #wisconsinwinter #winter… https://t.co/H51FmEdxYJ",WI,0
2016-12-16 22:16:16,#wisconsin law flipkart books online shopping,WI,0
2016-12-16 22:15:20,Tonight we debut a new #dessert menu featuring a #WisconsinCheese plate! https://t.co/7rLxdJWO6R #Wisconsin #Cheese #SupperClub #Chicago,WI,0
2016-12-16 22:13:30,"My ""it's cold AF"" face 😳 #wisconsin #madison #revoiced https://t.co/IUdIQiHPy6",WI,0
2016-12-16 22:12:31,#wisconsin real estate attorney boiler manufacturers training courses,WI,0
2016-12-16 22:10:02,#GreenBay #Wisconsin Dec 16 15:53 Temperature 15°F light snow Humidity 75% .. https://t.co/9Ul56OoZbV,WI,0
2016-12-16 22:08:45,RT @amrightnow: #TheRealDonaldTrump #WisconsinPrimary #Wisconsin #Wisconsinpoll  #ISIS #SyrianRefugees https://t.co/j58e8aacrE https://t.co…,WI,0
2016-12-16 22:07:22,#TheRealDonaldTrump #WisconsinPrimary #Wisconsin #Wisconsinpoll  #ISIS #SyrianRefugees https://t.co/j58e8aacrE https://t.co/OpSPf05EYU,WI,0
2016-12-16 22:05:18,"Heavy #snow falling on #Milwaukee, #Wisconsin right now. Expecting conditions to get worse this evening as the… https://t.co/SttZl7W6mi",WI,0
2016-12-16 22:04:35,Just download Lyft &amp; enter payment code to get free Lyfts LyftOfferCode SYRUP *** Marathon County #Wisconsin,WI,0
2016-12-16 22:04:08,#wisconsin law cheap online reptile shop uk,WI,0
2016-12-16 22:02:39,RT @DillionHarper: Being dorky in the snow #Wisconsin #blizzard #WinterWonderland 🎄🎄🎄 #Dillionaires https://t.co/PifenIWq1E,WI,0
2016-12-16 22:02:21,Eye to the sky watching for #WSBailey #snow #Wisconsin #snowblowerready ❄️❄️❄️Day351👔 https://t.co/BXRkxs28Ea,WI,0
